family,hypothesis,direction,threshold_band,horizon_label,symbol,decision_day,mfe_R,mae_R,trading_day
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-06-22,2.6970220790445434,8.210890233362147,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-06-23,4.890365193348955,12.271034138473937,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-06-30,10.642534261318797,2.6942670589079394,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-07-10,14.30300547465644,6.923392052437538,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-07-13,18.950000880576244,1.1253764463465068,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-07-21,16.057888493475687,6.566073546856471,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-07-22,22.158901494290852,2.1569923266145317,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-07-23,22.534327158463952,0.29595527786912285,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-07-31,1.405400723272485,14.798934580653537,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-08-03,6.949676805329728,5.113613831938776,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMZN,2026-07-01,1.4559291888985442,2.9614923274186196,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMZN,2026-07-15,4.962565167966768,1.1651836462702236,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMZN,2026-07-31,2.7165906069208385,3.2016960724424046,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMZN,2026-08-03,1.9698012094000061,2.3970742658507453,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMZN,2026-08-04,3.825932504440491,0.45825932504441225,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-05-29,14.355204122429045,9.946248500732969,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-06-01,20.97593966471288,1.4468992089191297,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-06-02,25.151836693446516,0.045475216007280626,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-06-03,9.45255385217243,4.276388175750021,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-06-17,8.870849430289995,1.3839307545601174,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-06-18,12.065256797583086,0.21510574018126558,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-07-08,4.68827682211394,1.3025753206721709,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-07-09,6.494355467276806,1.184220451059759,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-07-10,9.028501690778263,1.4466959904401102,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-07-21,2.3009966602677046,4.816314723748915,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-07-22,5.766066510251958,1.4000816076711233,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-07-23,4.767892580088134,0.5541094301693343,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-08-05,2.34183685599487,2.8815292075794687,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AVGO,2026-08-06,4.129284832102154,0.8389066250320469,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-05-28,4.621527981678317,0.5637442010687698,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-06-16,6.141705266769605,5.727111568593804,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-06-17,4.940345187072861,7.0803892042163765,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-06-24,2.5580176053423056,2.927784983029337,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-06-25,0.4002029197903207,5.123724705484473,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-06-26,4.486486486486492,1.0216216216216143,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-07-15,4.421565971281509,0.7423462476293557,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-07-16,6.6637559351634446,0.6167112372428226,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-07-17,6.197893813075901,0.0,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-07-27,0.8417508417508536,7.644149831649831,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-07-28,3.2019955202606356,4.159030747301983,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-07-29,3.4771573604060886,7.345177664974619,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-08-05,0.6468430198880109,4.117590268391582,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-08-06,0.007240430564264304,4.11256456050587,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,BKNG,2026-08-07,2.7855673957749145,0.6963918489437187,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CMCSA,2026-06-08,0.6307821698906734,3.5534062237174044,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CMCSA,2026-06-09,3.1561461794019854,2.2632890365448577,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CMCSA,2026-06-24,0.3742844561867056,19.33069132540731,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CMCSA,2026-06-25,0.21973192704900335,19.09470446055813,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CMCSA,2026-06-29,6.573568103622744,1.3560008095527256,
