family,hypothesis,direction,threshold_band,horizon_label,cost_bps,expectancy_pct,total_return_pct,profit_factor,win_rate
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,15.0,-0.3978985253740903,-9.947463134352258,0.6285831352481117,0.44
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,20.0,-0.4478985253740904,-11.19746313435226,0.5925598814676789,0.44
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,0.0,-0.6515255191938202,-16.288137979845505,0.6051297721444893,0.4
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,5.0,-0.7015255191938202,-17.538137979845505,0.5824187668855667,0.4
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,10.0,-0.7515255191938204,-18.78813797984551,0.5605046512269837,0.4
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,15.0,-0.8015255191938202,-20.038137979845505,0.539346206119812,0.4
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,20.0,-0.8515255191938202,-21.288137979845505,0.518905007068325,0.4
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,0.0,0.4491585831338829,21.55961199042638,1.855213343905619,0.6458333333333334
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,5.0,0.39915858313388286,19.159611990426377,1.7347052238048621,0.625
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,10.0,0.3491585831338828,16.759611990426375,1.62123352598108,0.625
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,15.0,0.2991585831338829,14.359611990426378,1.514580369216255,0.5833333333333334
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,20.0,0.2491585831338828,11.959611990426374,1.4137489555678047,0.5833333333333334
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,0.0,0.3600760304803259,17.283649463055642,1.423897143099218,0.5208333333333334
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,5.0,0.31007603048032584,14.88364946305564,1.355021659748085,0.5208333333333334
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,10.0,0.2600760304803258,12.483649463055638,1.2897794361880772,0.5
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,15.0,0.2100760304803259,10.083649463055643,1.2276784668662806,0.4791666666666667
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,20.0,0.16007603048032581,7.683649463055639,1.168726828889575,0.4791666666666667
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,0.0,0.24789852537409035,6.197463134352259,1.3352696207692107,0.56
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,5.0,0.19789852537409036,4.947463134352259,1.2599138367568699,0.56
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,10.0,0.14789852537409034,3.6974631343522586,1.188790440258634,0.56
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,15.0,0.09789852537409038,2.4474631343522595,1.1214241107939629,0.52
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,20.0,0.047898525374090395,1.19746313435226,1.0576914973928162,0.52
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,0.0,0.6515255191938202,16.288137979845505,1.6525380935334744,0.6
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,5.0,0.6015255191938202,15.038137979845505,1.590629438170363,0.6
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,10.0,0.5515255191938202,13.788137979845505,1.531105443004335,0.6
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,15.0,0.5015255191938203,12.538137979845507,1.4738309293797642,0.6
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,20.0,0.4515255191938203,11.288137979845507,1.4186807462825246,0.6
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,0.0,-0.0754215480771193,-4.751557528858516,0.8748909020410282,0.4603174603174603
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,5.0,-0.12542154807711928,-7.901557528858515,0.8008645556181131,0.4603174603174603
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,10.0,-0.17542154807711932,-11.051557528858517,0.7329207070084481,0.4603174603174603
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,15.0,-0.22542154807711928,-14.201557528858515,0.6703392718596545,0.4603174603174603
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,20.0,-0.27542154807711927,-17.351557528858514,0.6130073156545967,0.4126984126984127
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,0.0,-0.04794432847764495,-3.020492694091632,0.9481971080179878,0.5238095238095238
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,5.0,-0.09794432847764495,-6.170492694091632,0.8969448702283952,0.49206349206349204
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,10.0,-0.14794432847764488,-9.320492694091628,0.8483872400058544,0.49206349206349204
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,15.0,-0.19794432847764495,-12.470492694091632,0.8022930710584312,0.49206349206349204
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,20.0,-0.247944328477645,-15.620492694091634,0.7586032029861798,0.47619047619047616
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,120m,0.0,-0.27033488207203893,-6.758372051800974,0.57199413294766,0.44
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,120m,5.0,-0.320334882072039,-8.008372051800974,0.5143607534766922,0.44
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,120m,10.0,-0.370334882072039,-9.258372051800976,0.4614210902990275,0.44
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,120m,15.0,-0.420334882072039,-10.508372051800976,0.41262418762863323,0.44
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,120m,20.0,-0.470334882072039,-11.758372051800976,0.3675628733050414,0.4
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,EOD,0.0,-0.1172271313455753,-2.9306782836393825,0.8691325148652501,0.48
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,EOD,5.0,-0.16722713134557537,-4.180678283639384,0.8188949883149517,0.44
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,EOD,10.0,-0.21722713134557523,-5.430678283639381,0.7716693995544555,0.44
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,EOD,15.0,-0.26722713134557546,-6.680678283639386,0.727144148804757,0.44
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,EOD,20.0,-0.3172271313455753,-7.930678283639382,0.6850940674105035,0.44
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,2D,0.0,-0.18195539398343832,-187.77796659090836,0.886301547330466,0.48352713178294576
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,2D,5.0,-0.23195539398343826,-239.37796659090827,0.857372820419622,0.4757751937984496
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,2D,10.0,-0.2819553939834383,-290.9779665909083,0.8293907828226339,0.47093023255813954
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,2D,15.0,-0.33195539398343843,-342.57796659090843,0.8023217892752642,0.4631782945736434
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,2D,20.0,-0.38195539398343836,-394.1779665909084,0.7761402428805231,0.45445736434108525
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,3D,0.0,-0.6070373392207478,-607.0373392207478,0.7269590649980748,0.478
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,3D,5.0,-0.6570373392207478,-657.0373392207478,0.707917644659358,0.473
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,3D,10.0,-0.7070373392207477,-707.0373392207478,0.6893576704507712,0.466
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,3D,15.0,-0.757037339220748,-757.037339220748,0.671266564664368,0.462
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,3D,20.0,-0.8070373392207479,-807.037339220748,0.6536388597190572,0.454
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,5D,0.0,-0.8060294849950707,-754.4435979553862,0.7378902287418234,0.4807692307692308
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,5D,5.0,-0.8560294849950706,-801.2435979553861,0.723961323823581,0.4807692307692308
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,5D,10.0,-0.9060294849950703,-848.0435979553858,0.7102726129388314,0.47649572649572647
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,5D,15.0,-0.9560294849950707,-894.8435979553861,0.6968242849760132,0.4754273504273504
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,5D,20.0,-1.0060294849950708,-941.6435979553862,0.6836153467237986,0.4700854700854701
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,2D,0.0,-0.25618246698648406,-132.19015296502576,0.8493309606705631,0.46511627906976744
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,2D,5.0,-0.306182466986484,-157.99015296502574,0.8227380296157754,0.45542635658914726
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,2D,10.0,-0.356182466986484,-183.79015296502573,0.7969992855869475,0.45155038759689925
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,2D,15.0,-0.406182466986484,-209.59015296502577,0.7720866962306276,0.44573643410852715
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,2D,20.0,-0.456182466986484,-235.39015296502575,0.747961958341419,0.43992248062015504
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,3D,0.0,-0.679297332130808,-339.64866606540403,0.7103273861669951,0.462
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,3D,5.0,-0.7292973321308082,-364.6486660654041,0.6925416029457987,0.46
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,3D,10.0,-0.7792973321308081,-389.64866606540403,0.6751926485196049,0.452
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,3D,15.0,-0.8292973321308081,-414.6486660654041,0.6582738512037613,0.448
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,3D,20.0,-0.8792973321308082,-439.6486660654041,0.6417693341476072,0.442
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,5D,0.0,-0.7451368550285655,-348.72404815336864,0.764007435110155,0.47435897435897434
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,5D,5.0,-0.7951368550285655,-372.1240481533686,0.7502507789660265,0.47435897435897434
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,5D,10.0,-0.8451368550285655,-395.52404815336865,0.7367237060594789,0.4700854700854701
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,5D,15.0,-0.8951368550285655,-418.9240481533687,0.7234305335723887,0.4700854700854701
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,5D,20.0,-0.9451368550285654,-442.3240481533686,0.7103695963235135,0.4636752136752137
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,2D,0.0,0.10077649141631141,91.00117174892921,1.0700419259529703,0.5171650055370985
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,2D,5.0,0.05077649141631141,45.851171748929204,1.0347031537222142,0.5071982281284607
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,2D,10.0,0.000776491416311491,0.7011717489292764,1.0005218428249383,0.5005537098560354
