family,hypothesis,direction,threshold_band,horizon_label,segment,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,LATE,10,9,9,-0.37939068728171443,-0.47939068728171447,0.4176547399302178,3.793906872817144,by_symbol,0.36652867360549024,0.739599292004481,0.36652867360549024,-1.6072085268445593,0.4641127980859939,-1.4687973682565219,0.5672615661947976
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,MIDDLE,7,5,7,-0.501986905906571,-0.6019869059065711,0.30983911278107873,5.01986905906571,by_day,,,,-0.9863376119364242,0.3914396268488644,-1.7578570021894784,0.4715118315186841
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,EARLY,10,8,8,-0.0372215810839859,-0.137221581083986,0.8167549431215992,0.37221581083985894,by_day,,,,-0.7225847862509386,0.6811909684442705,-0.9658543224669626,1.051747699435289
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,LATE,25,20,12,-0.29552301789280283,-0.3955230178928028,0.6017626987108126,2.955230178928028,by_symbol,0.2868491522130266,0.6317189566600793,0.24691467354623703,-1.344823550689661,0.585798271729257,-1.066448597297421,1.1178727396875587
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,MIDDLE,13,10,10,-1.0614862101743419,-1.1614862101743422,0.13969947024783236,10.614862101743418,by_symbol,,,,-2.4066584383474563,-0.22070616264605097,-2.1900061107460287,-0.12307271111718451
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,EARLY,10,8,8,0.10591641223083795,0.005916412230837808,1.005161172483295,1.0591641223083794,by_symbol,0.3377221325472093,0.7495893453389056,0.3377221325472093,-1.4737688366785298,1.409976020755215,-1.0833721769381601,1.5707603021237413
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,LATE,25,20,12,-0.14549857833775545,-0.24549857833775537,0.7647731976740486,1.4549857833775544,by_symbol,0.32742917759294576,0.7284373939505772,0.29291421043497856,-1.4851889857315435,1.0816350329354847,-0.9650423613230455,1.2081264635347984
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,MIDDLE,13,10,10,-1.1311807020707794,-1.23118070207078,0.3048547206149544,11.311807020707793,by_symbol,0.33248583708355156,0.847575804284591,0.5150899672010393,-2.964677335629647,0.08690441164128931,-2.7457920891942136,0.2308717610703427
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,EARLY,6,5,5,0.039163792997656634,-0.060836207002343455,0.9373982517473718,0.3916379299765663,by_day,,,,-1.4042799541557596,1.0601905740274533,-1.5408903890845638,1.7130601097524605
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,LATE,12,12,8,0.31493694964924623,0.21493694964924617,1.364365850958418,3.1493694964924623,by_symbol,0.3824004479536917,0.6900027966646898,0.3824004479536917,-0.644631088714663,1.3472315835950293,-0.5105707565566118,1.4760317417299884
