family,hypothesis,direction,threshold_band,horizon_label,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,5D,936,35,117,-0.8060294849950707,-0.9060294849950703,0.7102726129388314,8.060294849950706,by_symbol,0.12372716029670301,0.2683793493292536,0.034939741678995474,-1.8508843560347288,-0.04300693669228461,-1.7350662378704924,0.07193484318737782
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,2D,516,35,129,-0.25618246698648406,-0.356182466986484,0.7969992855869475,2.5618246698648406,by_day,0.15273072710161922,0.34904071627818956,0.04111423033225408,-0.7669338126972232,0.1434960858857306,-0.7751960684653325,0.21113835692200994
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,3D,500,35,125,-0.679297332130808,-0.7792973321308081,0.6751926485196049,6.79297332130808,by_symbol,0.16414082408428793,0.36527261137100064,0.04848394889091923,-1.422448059930501,-0.06012195121937122,-1.4212991308689338,0.02604173840437225
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,5D,468,35,117,-0.7451368550285655,-0.8451368550285655,0.7367237060594789,7.451368550285655,by_symbol,0.1457554644589793,0.33030648612343894,0.041631581374469685,-1.9084690597791507,0.16055525832583972,-1.9080053063311428,0.3134639226949086
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,2D,903,35,129,0.10077649141631141,0.000776491416311491,1.0005218428249383,1.007764914163114,by_day,0.09002920972618747,0.21019075145610466,0.04136290055279449,-0.1761997608526347,0.3398983396864582,-0.3463371053104372,0.5616771945134658
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,3D,875,35,125,-0.13154534292803266,-0.23154534292803258,0.8790915648147052,1.3154534292803266,by_day,0.1073118667294172,0.23625538711007626,0.029412299343321242,-0.64568184575595,0.3225339717248584,-0.667046828304714,0.36717605260623476
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,5D,819,35,117,-0.35486790311421285,-0.4548679031142129,0.8208233926078391,3.5486790311421283,by_symbol,0.10230056718847112,0.23867973568877085,0.03177463906975734,-1.037939993787721,0.28042749825528407,-1.03746029471308,0.3072822477284758
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,2D,387,35,129,0.025174674730399742,-0.07482532526960019,0.9559883612379209,0.2517467473039974,by_day,0.08722785207754868,0.24854492390926522,0.06513387719554038,-0.38705790603243845,0.3892291591496292,-0.5540560592675856,0.6556349558604059
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,3D,375,35,125,-0.26816373027466933,-0.3681637302746694,0.8309791951656814,2.6816373027466933,by_day,0.1072859057977885,0.26236235869552976,0.0488851885356855,-0.9377631315797389,0.32159379232586943,-0.9690907615495575,0.4172405286109449
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,5D,351,35,117,-0.5391417164862911,-0.6391417164862911,0.7746263659516824,5.391417164862911,by_symbol,0.10552566882761263,0.26507499336674695,0.06469807153280654,-1.5147283014007595,0.4041303236244767,-1.375854272715469,0.356274908326595
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,903,35,129,-0.10077649141631141,-0.2007764914163114,0.8738680545880372,1.007764914163114,by_day,0.09574279994236619,0.23663065494274746,0.03649171906846567,-0.3398983396864582,0.17619976085263445,-0.5616771945134662,0.34633710531043693
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,875,35,125,0.13154534292803266,0.031545342928032724,1.0176838012963838,1.3154534292803266,by_day,0.11109222655959908,0.25138847409667797,0.0508081331160181,-0.3225339717248585,0.6456818457559499,-0.36717605260623515,0.667046828304714
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,819,35,117,0.35486790311421285,0.2548679031142129,1.1168696185167883,3.5486790311421283,by_day,0.10662469704279359,0.2481380658929633,0.04635778742167231,-0.28042749825528407,1.037939993787721,-0.30728224772847584,1.0374602947130795
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,387,35,129,-0.025174674730399742,-0.12517467473039964,0.927579988545926,0.2517467473039974,by_day,0.1329491772301831,0.3396907720184722,0.03529130070085652,-0.38922915914962924,0.38705790603243817,-0.6556349558604059,0.5540560592675854
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,375,35,125,0.26816373027466933,0.16816373027466947,1.0880685456019605,2.6816373027466933,by_day,0.14113466839328348,0.3186527027537133,0.05547912431993744,-0.3215937923258698,0.9377631315797386,-0.4172405286109451,0.9690907615495575
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,351,35,117,0.5391417164862911,0.4391417164862912,1.191371731236078,5.391417164862911,by_symbol,0.14985633086919858,0.36074878129734095,0.05162682998002162,-0.4041303236244768,1.514728301400759,-0.3562749083265951,1.3758542727154688
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,1032,35,129,0.18195539398343832,0.08195539398343843,1.055846256306333,1.8195539398343832,by_day,0.10092295388477014,0.24277311392763984,0.062159299778886935,-0.09598900619356947,0.52518896568748,-0.23150940179841373,0.6358400870246287
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,1000,35,125,0.6070373392207478,0.507037339220748,1.3045722428582485,6.070373392207477,by_day,0.12333234586390986,0.2833260863664728,0.049399215077029,0.06847836127667274,1.2709696249914204,0.03401626786386595,1.201483098898035
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,936,35,117,0.8060294849950707,0.7060294849950707,1.30460251241367,8.060294849950706,by_day,0.1365097971820098,0.2977727664192665,0.043390282722727005,0.04300693669228418,1.8508843560347286,-0.07193484318737789,1.7350662378704922
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,516,35,129,0.25618246698648406,0.15618246698648408,1.1047028563867083,2.5618246698648406,by_day,0.1457071986544123,0.31083293940837925,0.10084240145724303,-0.14349608588573065,0.7669338126972225,-0.21113835692200994,0.7751960684653323
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,3D,500,35,125,0.679297332130808,0.5792973321308081,1.3381898205808023,6.79297332130808,by_day,0.1091483777690496,0.2946705761466345,0.08450370661542278,0.060121951219371125,1.422448059930501,-0.026041738404372336,1.4212991308689338
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,5D,468,35,117,0.7451368550285655,0.6451368550285655,1.2621784011708848,7.451368550285655,by_day,0.12570336604662216,0.32335588512157626,0.07306853798623757,-0.16055525832583997,1.90846905977915,-0.31346392269490875,1.9080053063311424
