family,hypothesis,direction,threshold_band,horizon_label,regime_slice,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day,insufficient_n_for_bootstrap
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,2026_q3_f6_era,174,33,58,-0.046914011906748064,-0.14691401190674813,0.9288301729317701,0.4691401190674806,by_day,0.17547931521079999,0.36029037576818224,0.06595675597027341,-0.668564435681308,0.6964299956580005,-1.0724812594200654,0.941213417455253,
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,2025_q1_orpb_era,69,22,23,-1.29136506554962,-1.3913650655496201,0.4158323221049616,12.9136506554962,by_day,0.302666290224437,0.5675214245231865,0.19943721566748443,-2.2022118140717657,-0.39405044185837285,-2.4968807330361606,-0.013228357261073631,
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,2025_q3_fprc_era,66,22,22,1.440121042248941,1.3401210422489411,2.6939364297739803,14.40121042248941,by_symbol,0.2433060981041729,0.4979110757355384,0.12046566464936866,0.39259546010978663,2.4588665341343017,0.6248983029027008,2.3243789864218534,
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,2025_q4_task46_56_era,69,25,23,-0.04164699454354261,-0.1416469945435425,0.9116574236587403,0.4164699454354261,by_day,0.22836639961563038,0.48227135093044265,0.1208079984201655,-1.028398003964831,0.9831994150027773,-1.2847696215826736,1.1835589627643537,
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,2026_q3_f6_era,171,33,57,0.5701242234561352,0.47012422345613564,1.2067369685536582,5.701242234561352,by_day,0.20595832939489755,0.3811644827566399,0.09256093444261403,-0.5308519241287989,1.8387314282554978,-0.7197595122575777,1.8259196277762124,
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,2025_q1_orpb_era,63,22,21,-1.8824205439330486,-1.9824205439330487,0.40531634176897235,18.824205439330484,by_day,0.21938686744886246,0.5576346288919768,0.20318171368057358,-3.2578855970399307,-0.41888147404498627,-3.6975930971080144,-0.04656301072086354,
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,2025_q3_fprc_era,60,21,20,1.832014565768041,1.7320145657680406,2.9877611085432796,18.320145657680406,by_symbol,0.20517333329044826,0.47263666510955,0.1019958224282722,0.6859862424506273,3.085051229638382,0.8670411200677506,2.7753110490622075,
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,2025_q4_task46_56_era,63,22,21,-0.10434059430856188,-0.2043405943085617,0.9090324753182912,1.0434059430856186,by_day,0.2176852539398586,0.5163514318053016,0.17353771824443193,-1.5330457874397518,1.5703207845285354,-1.8731411196691097,1.8233320757663765,
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,2026_q3_f6_era,165,33,55,1.239295880301983,1.1392958803019833,1.4680532857873332,12.392958803019829,by_day,0.21767197698031857,0.43871147140182143,0.08430748276348192,-0.23434002705305373,2.8060761869266786,-0.2746536416085571,2.6354051279274384,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,2025_q1_orpb_era,192,35,24,0.19596966864599238,0.09596966864599239,1.0854472961458626,1.9596966864599237,by_day,0.09780381599167148,0.280645573761125,0.17802043746102184,-0.15985442235462385,0.5995717882310523,-0.6357066962786098,1.0679762684376404,
