trade_id,symbol,direction,signal_type,session,signal_timestamp,entry_timestamp,entry_price,stop_price,target_price,atr,risk_reward_ratio,screening_rr,execution_rr,confluence_score,opportunity_score,volume_surge_ratio,trend_alignment,exit_timestamp,exit_price,exit_reason,gross_R,net_R,gross_pnl,net_pnl,holding_seconds,mfe_price,mfe_pct,mfe_r,mae_price,mae_pct,mae_r,exit_signal_type,exit_signal_direction,geometry_path,fallback_reason,structural_level,structural_level_type,window,task,family,risk,risk_pct_entry,R_5bps,cost_R_5bps,time_bucket,holding_bucket,source_window,risk_abs,net_R_5bps,existing_5bps_R,native_net_R_zero_cost,holding_minutes,stop_risk_bucket,cost_R_bucket
ADI-2026-03-26 15:47:00+00:00,ADI,bullish,macd_bullish_cross,regular,2026-03-26 15:46:00+00:00,2026-03-26 15:47:00+00:00,319.41,319.0399999999999,326.5999999999999,0.2825165448516074,17.899999999995707,17.899999999995707,19.43243243242591,1,0.6188375336511952,2.608543349226428,True,2026-03-26 15:57:00+00:00,319.0399999999999,STOP,-1.0,-1.0,-0.3700000000001182,-0.3700000000001182,600.0,320.19,0.2442002442002356,2.108108108107361,319.02,-0.1221001221001356,-1.054054054053834,,,STRUCTURAL_PRIMARY,,319.0399999999999,prior_session_S1_pivot,Y_middle,Task53,MACD,,0.11583857737707594,,0.8627702702699945,MID_1030_1500,,Y_middle,0.37000000000011823,-1.8627702702699946,,-1.0,10.0,<0.15%,0.75-1.00R
ADI-2026-03-26 18:02:00+00:00,ADI,bullish,macd_bullish_cross,regular,2026-03-26 18:01:00+00:00,2026-03-26 18:02:00+00:00,315.89,315.5583234484168,326.5999999999999,0.2411177010555272,29.52914683920422,29.52914683920422,32.29049490799324,1,0.6218328266955192,2.7583080014426296,True,2026-03-26 19:07:00+00:00,315.5583234484168,STOP,-1.0,-1.0,-0.3316765515832571,-0.3316765515832571,3900.0,316.52,0.1994365127101191,1.899440876940779,315.115,-0.2453385672227602,-2.336613777189002,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,Y_middle,Task53,MACD,,0.10499748380233635,,0.9519037755824281,MID_1030_1500,,Y_middle,0.3316765515832003,-1.9519037755824282,,-1.0,65.0,<0.15%,0.75-1.00R
CSCO-2026-03-27 17:33:00+00:00,CSCO,bullish,macd_bullish_cross,regular,2026-03-27 17:32:00+00:00,2026-03-27 17:33:00+00:00,80.035,79.9379964616693,82.90333333333334,0.0646690255538015,29.569368114747064,29.569368114747064,29.569368114747064,1,0.6272006144425938,3.026697388796356,True,2026-03-27 17:42:00+00:00,79.9379964616693,STOP,-1.0,-1.0,-0.0970035383306964,-0.0970035383306964,540.0,80.155,0.1499344036983876,1.2370682767355403,79.915,-0.1499344036983699,-1.2370682767353938,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,Y_middle,Task53,MACD,,0.12120139730205089,,0.8245729960710434,MID_1030_1500,,Y_middle,0.09700353833069641,-1.8245729960710433,,-1.0,9.0,<0.15%,0.75-1.00R
ADBE-2026-06-03 13:52:00+00:00,ADBE,bullish,rsi_oversold_volume_surge,regular,2026-06-03 13:51:00+00:00,2026-06-03 13:52:00+00:00,253.86,252.63723223839023,269.40333333333325,0.8418451744065027,12.277264121448509,12.277264121448509,12.71159889991753,1,0.5966150939324159,1.4974213632874616,True,2026-06-03 13:57:00+00:00,252.63723223839023,STOP,-1.0,-1.0,-1.2227677616097594,-1.2227677616097594,300.0,254.3,0.1733238793035522,0.3598393855434517,252.34,-0.5987552194122785,-1.2430815136955755,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,Z_late,Task53,RSI,,0.4816701180216607,,0.20711096912286142,OPEN_0930_1030,,Z_late,1.2227677616097878,-1.2071109691228614,,-1.0,5.0,0.35-0.50%,0.20-0.35R
ADBE-2026-06-03 15:22:00+00:00,ADBE,bullish,macd_bullish_cross,regular,2026-06-03 15:21:00+00:00,2026-06-03 15:22:00+00:00,256.185,255.68779247193908,269.40333333333325,0.3680716853739364,23.84215513156571,23.84215513156571,26.585143199427822,1,0.6080466150862949,2.0689974209814146,True,2026-06-03 15:30:00+00:00,255.68779247193908,STOP,-1.0,-1.0,-0.497207528060926,-0.497207528060926,480.0,256.67,0.18931631438219,0.9754478213382632,255.385,-0.3122743330015463,-1.6089860970527827,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,Z_late,Task53,MACD,,0.19408143648571385,,0.5147476290918266,MID_1030_1500,,Z_late,0.49720752806092605,-1.5147476290918265,,-1.0,8.0,0.15-0.25%,0.50-0.75R
ADI-2026-06-04 15:51:00+00:00,ADI,bullish,rsi_oversold_volume_surge,regular,2026-06-04 15:50:00+00:00,2026-06-04 15:51:00+00:00,424.53,424.0333333333335,445.51333333333343,0.5069313614642945,39.02484472050779,39.02484472050779,42.24832214766551,1,0.6145080671927556,2.3920700263044483,True,2026-06-04 18:16:00+00:00,431.205,SIGNAL_EXIT,13.439597315440796,13.439597315440796,6.675000000000011,6.675000000000011,8700.0,431.795,1.7113042658940578,14.62751677852851,424.13,-0.0942218453348355,-0.8053691275170044,rsi_overbought_volume_surge,bearish,STRUCTURAL_PRIMARY,,424.0333333333335,prior_session_S1_pivot,Z_late,Task53,RSI,,0.11699212462405464,,0.8614781879197535,MID_1030_1500,,Z_late,0.49666666666649917,12.578119127521042,,13.439597315440796,145.0,<0.15%,0.75-1.00R
KLAC-2026-06-04 15:51:00+00:00,KLAC,bullish,rsi_oversold_volume_surge,regular,2026-06-04 15:50:00+00:00,2026-06-04 15:51:00+00:00,2082.51,2047.993333333333,2173.9733333333334,3.105417655734948,2.560097965335333,2.560097965335333,2.6498309995171194,1,0.4971476943591326,3.843757488617301,True,2026-06-04 16:45:00+00:00,2107.79,SIGNAL_EXIT,0.7323998068565791,0.7323998068565791,25.279999999999745,25.279999999999745,3240.0,2111.105,1.3731026501673365,0.8284403669724661,2080.45,-0.0989190928255038,-0.0596813133751923,rsi_overbought_volume_surge,bearish,STRUCTURAL_PRIMARY,,2047.993333333333,prior_session_S1_pivot,Z_late,Task53,RSI,,1.6574550262263856,,0.06069966199903352,MID_1030_1500,,Z_late,34.516666666667106,0.6717001448575456,,0.7323998068565791,54.0,>=0.75%,<0.20R
AMAT-2026-06-04 16:10:00+00:00,AMAT,bullish,macd_bullish_cross,regular,2026-06-04 16:09:00+00:00,2026-06-04 16:10:00+00:00,496.73,489.38003333333336,510.27993333333336,0.7889934140450944,1.9353929559595424,1.9353929559595424,1.8435367053818867,1,0.4282415919246946,2.272567395022766,True,2026-06-04 18:23:00+00:00,507.78,SIGNAL_EXIT,1.5034081787218945,1.5034081787218945,11.049999999999956,11.049999999999956,7980.0,508.42,2.353391178306121,1.5904834035528517,495.905,-0.1660862037726824,-0.1122454070086548,rsi_overbought_volume_surge,bearish,STRUCTURAL_PRIMARY,,489.38003333333336,prior_session_S1_pivot,Z_late,Task53,MACD,,1.4796703776028546,,0.06833432351167132,MID_1030_1500,,Z_late,7.34996666666666,1.4350738552102231,,1.5034081787218945,133.0,>=0.75%,<0.20R
AMD-2026-06-04 17:43:00+00:00,AMD,bullish,macd_bullish_cross,regular,2026-06-04 17:42:00+00:00,2026-06-04 17:43:00+00:00,527.16,525.8995929945173,551.0999666666668,0.8592046703218206,18.55325627882622,18.55325627882622,18.993838151113312,1,0.6106132084651883,2.197327089926083,True,2026-06-04 18:45:00+00:00,525.8995929945173,STOP,-1.0,-1.0,-1.260407005482648,-1.260407005482648,3720.0,532.19,0.954169512102604,3.9907743912244817,525.61,-0.2940283784809079,-1.2297614923255784,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,Z_late,Task53,MACD,,0.23909382454712952,,0.4177458505124973,MID_1030_1500,,Z_late,1.260407005482648,-1.4177458505124974,,-1.0,62.0,0.15-0.25%,0.35-0.50R
PANW-2026-06-04 19:07:00+00:00,PANW,bullish,macd_bullish_cross,regular,2026-06-04 19:06:00+00:00,2026-06-04 19:07:00+00:00,278.265,274.8466666666667,286.99666666666667,0.3042338960106026,2.570029382957905,2.570029382957905,2.5543637250122235,1,0.4741963373043517,2.666395383010538,True,2026-06-04 19:50:00+00:00,280.17,END_OF_SESSION,0.5572891272550127,0.5572891272550127,1.9050000000000296,1.9050000000000296,2580.0,280.72,0.8822525290640365,0.718186250609479,278.05,-0.0772644781053941,-0.0628961482203737,,,STRUCTURAL_PRIMARY,,274.8466666666667,prior_session_S1_pivot,Z_late,Task53,MACD,,1.2284453069316277,,0.081682350073136,CLOSE_1500_ONWARD,,Z_late,3.418333333333294,0.47560677718187666,,0.5572891272550127,43.0,>=0.75%,<0.20R
KLAC-2026-06-05 13:51:00+00:00,KLAC,bullish,rsi_oversold_volume_surge,regular,2026-06-05 13:50:00+00:00,2026-06-05 13:51:00+00:00,1999.18,1984.96734118338,2181.5566666666664,8.75923921108021,13.96243533986425,13.96243533986425,12.831987949601178,1,0.6095707927689479,2.1452063051140606,True,2026-06-05 16:42:00+00:00,1984.96734118338,STOP,-1.0,-1.0,-14.212658816620433,-14.212658816620433,10260.0,2038.79,1.9813123380585989,2.786952146749597,1984.0001,-0.7593063155893961,-1.0680549076608068,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,Z_late,Task53,RSI,,0.7109244198431346,,0.14016192862254612,OPEN_0930_1030,,Z_late,14.212658816619978,-1.1401619286225462,,-1.0,171.0,0.50-0.75%,<0.20R
CSCO-2026-06-05 16:50:00+00:00,CSCO,bullish,rsi_oversold_volume_surge,regular,2026-06-05 16:49:00+00:00,2026-06-05 16:50:00+00:00,123.25,122.9977254764172,132.20573333333328,0.1548496823885338,38.64278008144776,38.64278008144776,35.499951426502044,1,0.6209760173520217,2.7154675342677512,True,2026-06-05 16:51:00+00:00,122.9977254764172,STOP,-1.0,-1.0,-0.2522745235827983,-0.2522745235827983,60.0,123.375,0.101419878296146,0.495491967340785,122.99,-0.2109533468559879,-1.030623292068853,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,Z_late,Task53,RSI,,0.20468521183188504,,0.488055079798014,MID_1030_1500,,Z_late,0.25227452358279834,-1.488055079798014,,-1.0,1.0,0.15-0.25%,0.35-0.50R
VRTX-2026-06-08 16:37:00+00:00,VRTX,bullish,rsi_oversold_volume_surge,regular,2026-06-08 16:36:00+00:00,2026-06-08 16:37:00+00:00,443.29,442.74,452.04,0.3061468032678501,9.054054054053324,9.054054054053324,15.909090909088832,1,0.654348024454786,4.384067889405968,True,2026-06-08 16:40:00+00:00,442.74,STOP,-1.0,-1.0,-0.5500000000000682,-0.5500000000000682,180.0,443.58,0.0654199282636566,0.5272727272725958,442.54,-0.1691894696474091,-1.3636363636361946,,,STRUCTURAL_PRIMARY,,442.74,prior_session_S1_pivot,Z_late,Task53,RSI,,0.12407227774143594,,0.8054818181818016,MID_1030_1500,,Z_late,0.5500000000000114,-1.8054818181818018,,-1.0,3.0,<0.15%,0.75-1.00R
INTC-2025-09-29 16:16:00+00:00,INTC,bullish,macd_bullish_cross,regular,2025-09-29 16:15:00+00:00,2025-09-29 16:16:00+00:00,34.8401,34.54333333333332,36.35333333333332,0.0617403031251517,5.080627099663791,5.080627099663791,5.099067729978424,1,0.6122273272672426,2.2780330300288005,True,2025-09-29 16:40:00+00:00,34.54333333333332,STOP,-1.0,-1.0,-0.2967666666666773,-0.2967666666666773,1440.0,34.97,0.3728462317846368,0.4377176232730358,34.495,-0.9905252855187046,-1.1628664495113663,,,STRUCTURAL_PRIMARY,,34.54333333333332,prior_session_S1_pivot,W1,Task54,MACD,,0.8517962539334768,,0.11689896664045409,MID_1030_1500,,W1,0.2967666666666773,-1.116898966640454,,-1.0,24.0,>=0.75%,<0.20R
INTC-2025-09-30 15:25:00+00:00,INTC,bullish,macd_bullish_cross,regular,2025-09-30 15:24:00+00:00,2025-09-30 15:25:00+00:00,33.5139,33.426660329116764,35.10333333333333,0.0621597805888226,16.98239942648736,16.98239942648736,18.219157835438,1,0.6134123614478528,2.3372847390593114,True,2025-09-30 15:28:00+00:00,33.426660329116764,STOP,-1.0,-1.0,-0.0872396708832354,-0.0872396708832354,180.0,33.53,0.0480397685736412,0.1845490685258354,33.39,-0.3696973494579831,-1.4202254403943242,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,W1,Task54,MACD,,0.2603089192342147,,0.3836589458178509,MID_1030_1500,,W1,0.08723967088323548,-1.383658945817851,,-1.0,3.0,0.25-0.35%,0.35-0.50R
VRTX-2025-09-30 15:43:00+00:00,VRTX,bullish,macd_bullish_cross,regular,2025-09-30 15:42:00+00:00,2025-09-30 15:43:00+00:00,388.11,386.77600000000007,401.4820000000001,0.4335543095232403,11.258064516129554,11.258064516129554,10.023988005997458,1,0.6100704322901682,2.170188281175079,True,2025-09-30 15:54:00+00:00,386.77600000000007,STOP,-1.0,-1.0,-1.3339999999999463,-1.3339999999999463,660.0,388.48,0.0953337971193745,0.2773613193403444,386.774,-0.3442323052742811,-1.0014992503748623,,,STRUCTURAL_PRIMARY,,386.77600000000007,prior_session_S1_pivot,W1,Task54,MACD,,0.3437169874519972,,0.2904370314842696,MID_1030_1500,,W1,1.3339999999999463,-1.2904370314842697,,-1.0,11.0,0.25-0.35%,0.20-0.35R
INTC-2025-09-30 17:02:00+00:00,INTC,bullish,macd_bullish_cross,regular,2025-09-30 17:01:00+00:00,2025-09-30 17:02:00+00:00,33.615,33.543079102563205,35.10333333333333,0.0479472649578662,20.69403172619263,20.69403172619263,20.69403172619263,1,0.642059844650363,3.769658899184821,True,2025-09-30 17:15:00+00:00,33.543079102563205,STOP,-1.0,-1.0,-0.0719208974367973,-0.0719208974367973,780.0,33.73,0.3421091774505276,1.598978935170472,33.54,-0.2231146809460146,-1.0428123490243069,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,W1,Task54,MACD,,0.2139547744661529,,0.4668884948326767,MID_1030_1500,,W1,0.0719208974367973,-1.4668884948326766,,-1.0,13.0,0.15-0.25%,0.35-0.50R
VRTX-2025-09-30 17:21:00+00:00,VRTX,bullish,macd_bullish_cross,regular,2025-09-30 17:20:00+00:00,2025-09-30 17:21:00+00:00,390.1,386.77600000000007,401.4820000000001,0.3355226836857882,3.450968523002538,3.450968523002538,3.4241877256318336,1,0.529233974232105,2.775459809264305,True,2025-09-30 18:42:00+00:00,395.7634,SIGNAL_EXIT,1.7037906137184249,1.7037906137184249,5.663399999999967,5.663399999999967,4860.0,396.21,1.5662650602409525,1.8381468110710104,388.905,-0.3063317098180082,-0.3595066185319092,rsi_overbought_volume_surge,bearish,STRUCTURAL_PRIMARY,,386.77600000000007,prior_session_S1_pivot,W1,Task54,MACD,,0.8520892078954,,0.11821049939831686,MID_1030_1500,,W1,3.3239999999999554,1.585580114320108,,1.7037906137184249,81.0,>=0.75%,<0.20R
