trade_id,symbol,direction,signal_type,session,signal_timestamp,entry_timestamp,entry_price,stop_price,target_price,atr,risk_reward_ratio,screening_rr,execution_rr,confluence_score,opportunity_score,volume_surge_ratio,trend_alignment,exit_timestamp,exit_price,exit_reason,gross_R,net_R,gross_pnl,net_pnl,holding_seconds,mfe_price,mfe_pct,mfe_r,mae_price,mae_pct,mae_r,exit_signal_type,exit_signal_direction,geometry_path,fallback_reason,structural_level,structural_level_type,window,task,family,risk,risk_pct_entry,R_5bps,cost_R_5bps,time_bucket,holding_bucket,source_window,risk_abs,net_R_5bps,holding_minutes,realized_price_move_pct,winner_size_group,entry_et,exit_et,minutes_to_1600_et,signal_price,htf_sma_200_15m,price_vs_sma200_pct,sma200_slope_20_completed_15m_bars_pct,trend_aligned_existing,trend_state_60m,atr_1m_existing,atr_pct_1m,atr_15m,atr_pct_15m,atr_60m,atr_pct_60m,distance_above_15m_threshold_pct_points,distance_above_60m_threshold_pct_points,regime_ready,regime_eligible,regime_reason,volatility_expansion_state,completed_15m_bars,completed_60m_bars
MU-2025-10-22 14:41:00+00:00,MU,bullish,rsi_oversold_volume_surge,regular,2025-10-22T14:40:00+00:00,2025-10-22T14:41:00+00:00,198.28,197.34681385821003,205.1533,0.6454574278599798,7.063001322614921,7.063001322614921,7.365411563888102,1,0.5802164413371699,0.6774887335251613,True,2025-10-22T14:42:00+00:00,197.34681385821003,STOP,-1.0,-1.0,-0.9331861417899744,-0.9331861417899744,60.0,198.315,0.017651805527535,0.0375059148787421,197.12,-0.585031268912647,-1.243053178838429,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,W1,Task54,,,0.4706405798819723,,0.21197636577593484,MID,,W1,0.9331861417899745,-1.2119763657759348,1.0,-0.47064057988197217,LOSS_OR_FLAT,2025-10-22T10:41:00-04:00,2025-10-22T10:42:00-04:00,319.0,198.315,196.92320349999997,0.7067712058625109,0.7313304534421583,True,NOT_EMITTED_BY_ENGINE,0.6454574278599798,0.3254708054660413,1.5825201830907654,0.796978411648964,2.112163186638258,1.0331962953765386,0.467978411648964,0.1941962953765386,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,706,438
KLAC-2025-10-22 16:34:00+00:00,KLAC,bullish,rsi_oversold_volume_surge,regular,2025-10-22T16:33:00+00:00,2025-10-22T16:34:00+00:00,1107.52,1105.3635883563352,1156.4366666666667,2.017607762443245,15.87578701239836,15.87578701239836,22.684289806343948,1,0.6314376542435269,3.238549378843017,True,2025-10-22T17:13:00+00:00,1105.3635883563352,STOP,-1.0,-1.0,-2.1564116436647964,-2.1564116436647964,2340.0,1112.12,0.4153423865934619,2.1331734196084486,1104.86,-0.2401762496388401,-1.233530716556252,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,W1,Task54,,,0.19470633881688787,,0.5130939621053904,MID,,W1,2.1564116436647964,-1.5130939621053905,39.0,-0.19470633881688787,LOSS_OR_FLAT,2025-10-22T12:34:00-04:00,2025-10-22T13:13:00-04:00,206.0,1108.39,1088.6810855,1.8103478385452343,1.09166802625964,True,NOT_EMITTED_BY_ENGINE,2.017607762443245,0.18203049129306875,6.433492070410704,0.5773831788566932,9.840665886848557,0.8753093962062314,0.2483831788566932,0.036309396206231415,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,714,271
INTC-2025-12-04 16:07:00+00:00,INTC,bullish,rsi_oversold_volume_surge,regular,2025-12-04T16:06:00+00:00,2025-12-04T16:07:00+00:00,41.805,41.6827604383323,44.34666666666667,0.0814930411117971,20.7925047504348,20.7925047504348,20.7925047504348,1,0.5770763735520907,0.5204853442712073,True,2025-12-04T16:16:00+00:00,41.6827604383323,STOP,-1.0,-1.0,-0.1222395616676976,-0.1222395616676976,540.0,41.95,0.3468484631025072,1.186195352975648,41.67,-0.3229278794402536,-1.1043887769083218,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,W2,Task54,,,0.2924041661707874,,0.34149239124928205,MID,,W2,0.12223956166769767,-1.341492391249282,9.0,-0.29240416617078724,LOSS_OR_FLAT,2025-12-04T11:07:00-05:00,2025-12-04T11:16:00-05:00,293.0,41.805,39.056318000000005,7.0377397070558345,2.4685588835163363,True,NOT_EMITTED_BY_ENGINE,0.0814930411117971,0.19493611078052173,0.3719622488018846,0.8905393308830273,0.46336280476495445,1.1093674248949068,0.5615393308830272,0.27036742489490684,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,396,245
AMAT-2025-12-05 17:43:00+00:00,AMAT,bullish,rsi_oversold_volume_surge,regular,2025-12-05T17:42:00+00:00,2025-12-05T17:43:00+00:00,267.99,266.11170000000004,272.87660000000005,0.2430851079280125,2.376878151050827,2.376878151050827,2.6016078368738373,1,0.4275250572665198,0.9122850768401788,True,2025-12-05T19:00:00+00:00,269.42,SIGNAL_EXIT,0.7613267316190341,0.7613267316190341,1.4300000000000068,1.4300000000000068,4620.0,269.68,0.6306205455427433,0.8997497737315802,267.83,-0.0597037202880797,-0.0851834105308139,macd_bearish_cross,bearish,STRUCTURAL_PRIMARY,,266.11170000000004,prior_session_S1_pivot,W2,Task54,,,0.7008843613567549,,0.14305755204174236,MID,,W2,1.8782999999999674,0.6182691795772917,77.0,0.5336020000746322,SMALL_WIN,2025-12-05T12:43:00-05:00,2025-12-05T14:00:00-05:00,197.0,268.115,254.9050555,5.182299925000899,1.6467386153260044,True,NOT_EMITTED_BY_ENGINE,0.2430851079280125,0.09066449394029148,1.477770042467972,0.5504004031688227,2.3134326561296588,0.8571126138822787,0.22140040316882265,0.018112613882278694,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,420,240
INTC-2025-12-08 15:05:00+00:00,INTC,bullish,rsi_oversold_volume_surge,regular,2025-12-08T15:04:00+00:00,2025-12-08T15:05:00+00:00,40.81,40.76333333333332,42.44333333333332,0.1291407377696545,34.99999999998889,34.99999999998889,34.99999999998889,1,0.5857259749922756,0.95296541628045,True,2025-12-08T15:15:00+00:00,40.76333333333332,STOP,-1.0,-1.0,-0.046666666666681,-0.046666666666681,600.0,41.02,0.5145797598627808,4.4999999999986295,40.7,-0.2695417789757398,-2.357142857142118,,,STRUCTURAL_PRIMARY,,40.76333333333332,prior_session_S1_pivot,W2,Task54,,,0.11435105774731943,,0.8739999999997303,OPEN,,W2,0.04666666666668107,-1.8739999999997303,10.0,-0.11435105774731927,LOSS_OR_FLAT,2025-12-08T10:05:00-05:00,2025-12-08T10:15:00-05:00,355.0,40.81,40.525786,0.7013164408458561,1.5406149884445552,True,NOT_EMITTED_BY_ENGINE,0.1291407377696545,0.31644385633338523,0.33656704877530724,0.8243312950207261,0.40940237580023575,1.0027220188547772,0.4953312950207261,0.16372201885477722,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,444,276
AVGO-2025-12-11 15:03:00+00:00,AVGO,bullish,rsi_oversold_volume_surge,regular,2025-12-11T15:02:00+00:00,2025-12-11T15:03:00+00:00,397.395,395.4695738732827,418.44,1.2836174178115185,10.930048007544237,10.930048007544237,10.930048007544237,1,0.5816853967688482,0.750936505109078,True,2025-12-11T15:48:00+00:00,395.4695738732827,STOP,-1.0,-1.0,-1.9254261267172976,-1.9254261267172976,2700.0,402.1499,1.196517319040255,2.469531255456036,395.39,-0.5045357893279975,-1.0413279284925696,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,W2,Task54,,,0.48451191552920847,,0.2058932728894292,OPEN,,W2,1.9254261267172978,-1.2058932728894292,45.0,-0.4845119155292084,LOSS_OR_FLAT,2025-12-11T10:03:00-05:00,2025-12-11T10:48:00-05:00,357.0,397.395,391.3460365,1.5456815543856806,0.2433957865833225,True,NOT_EMITTED_BY_ENGINE,1.2836174178115185,0.3230079436861356,3.124434365872284,0.7888591324443367,3.5776381999112443,0.9032843184061514,0.4598591324443367,0.06428431840615145,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,522,324
LRCX-2025-12-11 15:03:00+00:00,LRCX,bullish,rsi_oversold_volume_surge,regular,2025-12-11T15:02:00+00:00,2025-12-11T15:03:00+00:00,161.16,160.2652450772602,171.12000000000003,0.6011699484932058,11.037366970794988,11.037366970794988,11.131539762309352,1,0.5954245588336132,1.43789460834733,True,2025-12-11T20:09:00+00:00,167.48,SIGNAL_EXIT,7.063386676485419,7.063386676485419,6.319999999999993,6.319999999999993,18360.0,168.105,4.309381980640353,7.761901972815069,161.16,0.0,0.0,rsi_overbought_volume_surge,bearish,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,W2,Task54,,,0.5551966509926737,,0.18364805358862107,OPEN,,W2,0.8947549227397928,6.879738622896798,306.0,3.9215686274509762,VERY_LARGE_WIN,2025-12-11T10:03:00-05:00,2025-12-11T15:09:00-05:00,357.0,161.167,160.261381,0.5650887283942696,0.6499547019443552,True,NOT_EMITTED_BY_ENGINE,0.6011699484932058,0.3730105719490999,1.4289659440161477,0.8880529140613683,1.5958912865234032,0.9917912413917117,0.5590529140613683,0.15279124139171174,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,518,304
STX-2025-12-12 16:40:00+00:00,STX,bullish,rsi_oversold_volume_surge,regular,2025-12-12T16:39:00+00:00,2025-12-12T16:40:00+00:00,281.0,279.394014400119,315.01166666666666,1.0639903999206948,21.31702608670321,21.31702608670321,21.17806452883908,1,0.6083947840716922,2.0864058702512787,True,2025-12-12T20:50:00+00:00,286.01,END_OF_SESSION,3.1195796527510256,3.1195796527510256,5.009999999999991,5.009999999999991,15000.0,293.99,4.6227758007117465,8.088490955935315,280.78,-0.0782918149466289,-0.1369875296617389,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,W2,Task54,,,0.5715251245128198,,0.17653022543975672,MID,,W2,1.6059855998810235,2.943049427311269,250.0,1.782918149466189,LARGE_WIN,2025-12-12T11:40:00-05:00,2025-12-12T15:50:00-05:00,260.0,280.99,279.799845,0.4253594207673794,1.1679078513878949,True,NOT_EMITTED_BY_ENGINE,1.0639903999206948,0.3786577457990301,4.093806224562305,1.4301006862860004,4.443579724301541,1.546830411912675,1.1011006862860004,0.707830411912675,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,546,291
AMAT-2026-04-23 17:48:00+00:00,AMAT,bullish,rsi_oversold_volume_surge,regular,2026-04-23T17:47:00+00:00,2026-04-23T17:48:00+00:00,398.8,395.1266666666666,407.9466666666666,1.0675429047708491,2.0499603489293885,2.0499603489293885,2.4900181488202584,1,0.453179402851167,3.175755762436852,True,2026-04-23T19:50:00+00:00,402.505,END_OF_SESSION,1.0086206896551488,1.0086206896551488,3.704999999999984,3.704999999999984,7320.0,404.03,1.3114343029087163,1.4237749546279117,397.32,-0.3711133400200647,-0.4029038112522659,,,STRUCTURAL_PRIMARY,,395.1266666666666,prior_session_S1_pivot,W3,Task54,,,0.9210966232029596,,0.1090705535390179,MID,,W3,3.673333333333403,0.8995501361161309,122.0,0.929037111333998,MEDIUM_WIN,2026-04-23T13:48:00-04:00,2026-04-23T15:50:00-04:00,132.0,399.33,394.4257354999999,1.2433936375330745,0.3852642713729537,True,NOT_EMITTED_BY_ENGINE,1.0675429047708491,0.2673335098216636,2.7413913621789647,0.6862743108644082,3.966293662036205,0.9716068938406262,0.35727431086440814,0.13260689384062618,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,329,192
KLAC-2026-04-23 17:48:00+00:00,KLAC,bullish,rsi_oversold_volume_surge,regular,2026-04-23T17:47:00+00:00,2026-04-23T17:48:00+00:00,1794.97,1787.8266666666666,1825.5266666666664,3.831363533417116,5.279844530816186,5.279844530816186,4.27764815678945,1,0.6314827039108732,3.2408018622103323,True,2026-04-23T18:41:00+00:00,1809.24,SIGNAL_EXIT,1.9976668222118228,1.9976668222118228,14.269999999999982,14.269999999999982,3180.0,1819.795,1.383031471278074,3.475268315445596,1791.8199,-0.1754959692919695,-0.4409846010266015,macd_bearish_cross,bearish,STRUCTURAL_PRIMARY,,1787.8266666666666,prior_session_S1_pivot,W3,Task54,,,0.397963939973004,,0.2522778814745649,MID,,W3,7.14333333333343,1.7453889407372578,53.0,0.7949993593207676,MEDIUM_WIN,2026-04-23T13:48:00-04:00,2026-04-23T14:41:00-04:00,132.0,1793.83,1775.8040175,1.0150885076483318,0.45418371554803993,True,NOT_EMITTED_BY_ENGINE,3.831363533417116,0.2135856537920046,11.848393789626304,0.6596672215095535,16.643931617665963,0.908767017893456,0.33066722150955347,0.06976701789345607,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,329,156
TXN-2026-04-27 18:21:00+00:00,TXN,bullish,rsi_oversold_volume_surge,regular,2026-04-27T18:20:00+00:00,2026-04-27T18:21:00+00:00,267.86,267.6017688032937,285.99,0.1888207978042215,63.92304312004705,63.92304312004705,70.20840328838294,1,0.5975794685233571,1.5456400928345253,True,2026-04-27T19:50:00+00:00,270.56,END_OF_SESSION,10.455746766609664,10.455746766609664,2.6999999999999886,2.6999999999999886,5340.0,270.56,1.0079892481146826,10.455746766609664,267.86,0.0,0.0,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,W3,Task54,,,0.09640528511398988,,1.0425154026070371,MID,,W3,0.2582311967063333,9.413231364002627,89.0,1.0079892481146826,VERY_LARGE_WIN,2026-04-27T14:21:00-04:00,2026-04-27T15:50:00-04:00,99.0,267.885,246.68276600000002,8.594939299488802,2.333438624112416,True,NOT_EMITTED_BY_ENGINE,0.1888207978042215,0.07048576732710735,1.3776300467242795,0.514041062210552,2.8058122006351334,1.0445672911042527,0.185041062210552,0.20556729110425276,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,383,202
