trade_id,task,window,symbol,gross_R,mfe_R,mae_R,realization_ratio,canonical_mfe_price,recomputed_mfe_price,canonical_mae_price,recomputed_mae_price,lifecycle_end_inclusive,lifecycle_bar_count
AVGO-2025-10-14 18:04:00+00:00,Task54,W1,AVGO,-1.0,4.448545889927364,-2.6338912088814754,,349.3299,349.33,344.92,344.92,True,94
LRCX-2025-10-16 14:03:00+00:00,Task54,W1,LRCX,-1.0,0.8804780876493974,-1.0079681274900554,,144.56,144.56,142.19,142.19,True,115
MU-2025-10-22 14:41:00+00:00,Task54,W1,MU,-1.0,0.0375059148787421,-1.243053178838429,,198.315,198.315,197.12,197.12,True,2
KLAC-2025-10-22 16:34:00+00:00,Task54,W1,KLAC,-1.0,2.1331734196084486,-1.233530716556252,,1112.12,1112.12,1104.86,1104.86,True,35
INTC-2025-12-04 16:07:00+00:00,Task54,W2,INTC,-1.0,1.186195352975648,-1.1043887769083218,,41.95,41.95,41.67,41.67,True,10
AMAT-2025-12-05 17:43:00+00:00,Task54,W2,AMAT,0.7613267316190341,0.8997497737315802,-0.0851834105308139,0.8461538461538514,269.68,269.68,267.83,267.83,False,77
INTC-2025-12-08 15:05:00+00:00,Task54,W2,INTC,-1.0,4.4999999999986295,-2.357142857142118,,41.02,41.02,40.7,40.7,True,11
AVGO-2025-12-11 15:03:00+00:00,Task54,W2,AVGO,-1.0,2.469531255456036,-1.0413279284925696,,402.1499,402.1499,395.39,395.39,True,46
LRCX-2025-12-11 15:03:00+00:00,Task54,W2,LRCX,7.063386676485419,7.761901972815069,0.0,0.9100071994240461,168.105,168.105,161.16,161.16,False,306
STX-2025-12-12 16:40:00+00:00,Task54,W2,STX,3.1195796527510256,8.088490955935315,-0.1369875296617389,0.3856812933025394,293.99,293.99,280.78,280.78,True,250
AMAT-2026-04-23 17:48:00+00:00,Task54,W3,AMAT,1.0086206896551488,1.4237749546279117,-0.4029038112522659,0.7084130019120479,404.03,404.03,397.32,397.32,True,123
KLAC-2026-04-23 17:48:00+00:00,Task54,W3,KLAC,1.9976668222118228,3.475268315445596,-0.4409846010266015,0.57482376636455,1819.795,1819.795,1791.8199,1791.8199,False,50
TXN-2026-04-27 18:21:00+00:00,Task54,W3,TXN,10.455746766609664,10.455746766609664,0.0,1.0,270.56,270.56,267.86,267.86,True,90
INTC-2026-04-28 14:42:00+00:00,Task54,W3,INTC,4.7173752502130375,5.5151174984776645,-0.9470403785264636,0.8553535353535392,83.85,83.85,80.95,80.95,False,191
STX-2026-04-28 14:53:00+00:00,Task54,W3,STX,3.5972900215164243,7.151310288810119,-0.3894277880045161,0.5030253025302535,585.93,585.93,566.76,566.76,True,298
AMZN-2026-04-30 13:50:00+00:00,Task54,W3,AMZN,-1.0,1.1942694802160414,-1.4354895987141087,,262.59,262.59,257.9,257.9,True,28
MU-2026-04-30 14:20:00+00:00,Task54,W3,MU,-1.0,0.4296832836245106,-1.0104530606448192,,512.84,512.84,507.77,507.77,True,10
PANW-2026-04-30 17:01:00+00:00,Task54,W3,PANW,-1.0,1.535958857629385,-7.320099732334323,,178.6101,178.6101,176.505,176.505,True,2
QCOM-2026-05-04 16:06:00+00:00,Task54,W3,QCOM,-1.0,0.3989487403485438,-1.7509416937518585,,168.57,168.57,167.6,167.6,True,3
INTU-2026-05-05 15:58:00+00:00,Task54,W3,INTU,-1.0,0.0,-1.1003229342537335,,394.97,394.97,393.96,393.96,True,6
AVGO-2026-05-06 14:11:00+00:00,Task54,W3,AVGO,-1.0,0.0140668959049682,-1.0812753985620516,,425.51,425.51,419.67,419.67,True,7
AMD-2026-05-07 15:53:00+00:00,Task54,W3,AMD,-1.0,0.2752452394691353,-1.026543566070394,,409.17,409.17,405.41,405.41,True,16
LRCX-2026-05-07 15:54:00+00:00,Task54,W3,LRCX,-1.0,1.1653891059308574,-2.0215933470229324,,288.12,288.12,286.78,286.78,True,2
MU-2026-05-07 16:01:00+00:00,Task54,W3,MU,-1.0,0.1008092168426857,-1.1169908105884108,,653.6,653.6,638.8017,638.8017,True,15
AMAT-2026-05-07 16:22:00+00:00,Task54,W3,AMAT,3.4760933251111537,4.070035937770946,-0.2420064973178529,0.8540694426926658,412.7999,412.7999,406.92,406.92,True,209
QCOM-2026-05-12 14:19:00+00:00,Task54,W3,QCOM,-1.0,0.952871739171799,-1.3900192132086455,,220.8951,220.8951,217.01,217.01,True,7
AMAT-2026-05-12 15:27:00+00:00,Task54,W3,AMAT,-1.0,2.681502983769496,-1.0331331842228708,,422.21,422.21,417.41,417.41,True,82
TSLA-2026-05-12 15:31:00+00:00,Task54,W3,TSLA,-1.0,1.021365315118551,-1.0953099559191262,,429.93,429.93,424.6,424.6,True,28
QCOM-2026-05-12 17:01:00+00:00,Task54,W3,QCOM,7.813636173799972,7.9843094554119824,-0.4853521445841762,0.9786239144956583,210.95,210.95,203.01,203.01,True,170
AMAT-2026-05-13 14:14:00+00:00,Task54,W3,AMAT,0.8704496788008531,1.282655246252674,-0.1862955032119918,0.6786310517529204,430.13,430.13,423.27,423.27,False,98
AMAT-2026-05-15 17:15:00+00:00,Task54,W3,AMAT,2.7702697664110465,7.357890952064713,-0.6375477513198089,0.3765032377428311,444.5,444.5,435.69,435.69,True,156
INTC-2025-12-31 18:08:00+00:00,Task56,H1_early,INTC,-0.1605940594059383,0.2277227722772305,-0.6039603960396004,,37.29,37.29,36.87,36.87,True,163
INTC-2026-01-06 16:05:00+00:00,Task56,H1_early,INTC,0.7409200968522905,1.1694915254237177,-0.02179176755448,0.6335403726708052,39.88,39.88,39.06,39.06,False,161
KLAC-2026-01-07 18:08:00+00:00,Task56,H1_early,KLAC,-1.0,0.8441266455749913,-1.0522674622920931,,1357.01,1357.01,1354.55,1354.55,True,4
AMAT-2026-01-08 15:05:00+00:00,Task56,H1_early,AMAT,-1.0,0.6910066480698424,-1.14012852768858,,283.495,283.495,280.6728,280.6728,True,30
INTC-2026-01-08 15:09:00+00:00,Task56,H1_early,INTC,-0.3542724097788112,0.2200232828870766,-0.736903376018627,,42.05,42.05,40.68,40.68,True,342
VRTX-2026-01-08 19:15:00+00:00,Task56,H1_early,VRTX,-1.0,0.7986453563531963,-1.121818963300913,,471.0899,471.0899,468.95,468.95,True,18
INTC-2026-01-12 18:37:00+00:00,Task56,H1_early,INTC,0.0,0.2606457148986379,-0.131931781615363,,44.77,44.77,44.16,44.16,True,134
LRCX-2026-01-13 19:12:00+00:00,Task56,H1_early,LRCX,-1.0,2.175731298928544,-1.7602650207411907,,216.86,216.86,215.06,215.06,True,47
PANW-2026-01-14 16:02:00+00:00,Task56,H1_early,PANW,-1.0,0.3839999999999743,-1.463999999999898,,188.73,188.73,187.96,187.96,True,5
KLAC-2026-01-20 17:57:00+00:00,Task56,H1_early,KLAC,-1.0,0.41385279588028,-1.416837218837096,,1515.95,1515.95,1510.31,1510.31,True,24
KLAC-2026-01-20 19:38:00+00:00,Task56,H1_early,KLAC,-1.0,6.153856699397503,-3.205006635810969,,1503.815,1503.815,1488.47,1488.47,True,48
AMAT-2026-01-23 17:54:00+00:00,Task56,H1_early,AMAT,0.3861964517524909,0.6166161834703667,-0.1257572479446101,0.626315789473681,323.07,323.07,318.495,318.495,True,177
AMD-2026-01-26 20:15:00+00:00,Task56,H1_early,AMD,0.4043244795038053,2.199525168500723,-0.6792651255664187,0.18382352941176283,251.77,251.77,250.88,250.88,True,36
AMAT-2026-02-23 16:14:00+00:00,Task56,H2_middle,AMAT,0.7981180496150398,1.7579127459366617,-0.4901625320786797,0.4540145985401464,374.08,374.08,369.7,369.7,False,268
AMD-2026-02-25 19:44:00+00:00,Task56,H2_middle,AMD,-0.193069565217394,0.0182608695652155,-0.3052173913043512,,211.88,211.88,210.64,210.64,True,67
BKNG-2026-03-09 19:20:00+00:00,Task56,H2_middle,BKNG,5.467750550323512,6.327999426100329,-0.2037624904980531,0.864056739286566,4440.0,4440.0,4353.77,4353.77,True,31
INTU-2026-03-10 13:50:00+00:00,Task56,H2_middle,INTU,-1.0,0.0849577086008172,-1.014343551173442,,457.58,457.58,453.31,453.31,True,8
INTU-2026-03-10 16:11:00+00:00,Task56,H2_middle,INTU,0.4644357288829466,5.941574324674531,-0.7286836435921324,0.0781671159029703,459.94,459.94,451.61,451.61,True,220
STX-2026-03-11 17:40:00+00:00,Task56,H2_middle,STX,0.2325319401802486,0.4465930474398338,-0.119169060116868,0.5206797139213769,387.07,387.07,382.5,382.5,True,128
AMD-2026-03-12 14:01:00+00:00,Task56,H2_middle,AMD,-1.0,0.9708111403044484,-1.2328705892209428,,200.33,200.33,198.48,198.48,True,23
STX-2026-03-18 13:50:00+00:00,Task56,H2_middle,STX,3.240699238009925,4.333998207082093,-0.3681084715374228,0.747738942926734,421.2222,421.2222,407.235,407.235,False,119
AMD-2026-03-20 14:31:00+00:00,Task56,H2_middle,AMD,-0.1823572429227219,0.6396644845238347,-0.5999894270333254,,202.9499,202.9499,198.26,198.26,True,320
LRCX-2026-03-20 18:26:00+00:00,Task56,H2_middle,LRCX,-0.1060786650774717,0.1537544696066773,-0.7365911799761641,,225.78,225.78,222.045,222.045,True,85
AMAT-2026-06-16 15:22:00+00:00,Task56,H3_late,AMAT,-1.0,0.0,-1.031019085343939,,582.015,582.015,577.2431,577.2431,True,5
ADI-2026-06-16 15:48:00+00:00,Task56,H3_late,ADI,2.960638209447465,4.125839880987466,-0.3810722447803985,0.7175843694493725,429.48,429.48,423.33,423.33,False,27
PANW-2026-06-16 17:42:00+00:00,Task56,H3_late,PANW,1.9293478260870176,2.478260869565298,-0.4891304347826181,0.7785087719298238,280.78,280.78,278.05,278.05,True,129
GILD-2026-06-17 16:43:00+00:00,Task56,H3_late,GILD,-1.0,0.1566920565832364,-1.0184983677910602,,126.64,126.64,124.84,124.84,True,82
VRTX-2026-06-18 14:39:00+00:00,Task56,H3_late,VRTX,0.5535714285714479,0.8531746031746229,-0.7023809523809502,0.6488372093023332,454.36,454.36,450.44,450.44,False,208
