direction,gap_threshold_band,horizon_label,horizon_family,family,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day
SHORT,1.0,120m,INTRADAY_SHORT,FAMILY_B_GAP,757,35,115,-0.08906738806022342,-0.1890673880602234,0.7846576035191337,0.8906738806022342,by_day,0.08166306878052895,0.21782046494457627,0.055660959555448176,-0.24389894524728947,0.04093062371643427,-0.41277104027609945,0.21719491458609388
SHORT,1.0,180m,INTRADAY_SHORT,FAMILY_B_GAP,757,35,115,-0.15403974817935912,-0.25403974817935915,0.7396295748664761,1.540397481793591,by_day,0.08312779193753797,0.2156176380754433,0.06355235683838821,-0.33669162604458175,0.006260417127155038,-0.5114866986430409,0.1834241918021922
SHORT,1.0,3_DAY_CLOSE,MULTI_DAY,FAMILY_B_GAP,727,35,105,-0.036203909604962795,-0.13620390960496273,0.945761747048119,0.3620390960496279,by_day,0.07494100207177423,0.21437606001301077,0.07151242158306012,-0.40326065518992726,0.3123570570902903,-1.0430517860062993,0.9297514240147309
SHORT,1.0,EOD,INTRADAY_SHORT,FAMILY_B_GAP,757,35,115,0.13559690821293363,0.03559690821293365,1.0371649194004284,1.3559690821293362,by_day,0.09032515670384411,0.23283221679067462,0.09117518353233357,-0.05745634081998671,0.30725105861166235,-0.2941412099682545,0.5692422885604492
SHORT,1.0,NEXT_DAY_CLOSE,MULTI_DAY,FAMILY_B_GAP,750,35,112,-0.3625722281476175,-0.46257222814761745,0.7521576575662287,3.625722281476175,by_day,0.09648175583823308,0.2338274062592192,0.08631065671448694,-0.6708913267744974,-0.06160413289182748,-1.0581397348462398,0.31041972173633225
SHORT,2.0,120m,INTRADAY_SHORT,FAMILY_B_GAP,353,35,81,-0.27375306642797564,-0.3737530664279756,0.664407986258329,2.737530664279756,by_day,0.0745227144802319,0.21024003271437436,0.0931765127307181,-0.554134819088534,-0.001626530344898767,-0.7952390257205569,0.2460610103404002
SHORT,2.0,180m,INTRADAY_SHORT,FAMILY_B_GAP,353,35,81,-0.37934241378014255,-0.4793424137801425,0.6245662268404036,3.7934241378014253,by_day,0.07564659106732519,0.21385722144998653,0.1039744564713027,-0.7032673421162038,-0.07211778590580223,-0.9438620367295042,0.19845588881159593
SHORT,2.0,3_DAY_CLOSE,MULTI_DAY,FAMILY_B_GAP,345,35,74,-0.34348100127167197,-0.44348100127167195,0.8546622485705363,3.4348100127167194,by_day,0.1060029202969411,0.2916299249053946,0.1242289099487086,-0.8225301483114935,0.1288914999949609,-1.828595404663401,1.1043410484135732
SHORT,2.0,EOD,INTRADAY_SHORT,FAMILY_B_GAP,353,35,81,0.06967742534869753,-0.030322574651302437,0.9743512623185567,0.6967742534869753,by_day,0.09131823449844625,0.2662913902468333,0.1496481361044044,-0.23435977228080437,0.38030843726038965,-0.6339620321888315,0.7457763740789011
SHORT,2.0,NEXT_DAY_CLOSE,MULTI_DAY,FAMILY_B_GAP,351,35,79,-0.46494904078187616,-0.564949040781876,0.7444787194556455,4.649490407818761,by_day,0.09069186563509546,0.2622453641086307,0.14125677160636266,-0.8526767009550207,-0.05245739426694113,-1.5549689054597982,0.7015104915312497
