symbol,trading_day,mfe_pct,mae_pct,gross_return_pct
ISRG,2025-07-02,0.16064338608705836,0.5263060700633456,-0.1274214695942717
KLAC,2025-07-02,1.3410277548777187,0.05276174773289565,1.276174773289367
LRCX,2025-07-02,1.1138360923768684,0.05109339873288081,1.0014306151645247
LRCX,2025-07-08,0.6069422150882722,0.44141252006421744,0.1203852327447736
MDLZ,2025-07-01,1.0039284155390624,0.24006983849848137,0.3200931179979613
MDLZ,2025-07-10,0.5521151980899867,0.09699321047526334,0.2014474371409462
META,2025-07-07,0.18906200405724363,1.0101707078095097,-0.8266287622648814
META,2025-07-09,0.686689419795218,0.13651877133105803,0.0409556313993112
MU,2025-07-02,0.7082326933311458,0.7655463216932102,-0.3316002783804815
MU,2025-07-08,0.38047761743395386,0.7557541738514697,-0.4676954098636166
NVDA,2025-07-02,0.35583018978458575,0.6246768363970694,0.1265909837673207
NVDA,2025-07-09,0.14704981312418397,0.4411494393725867,-0.2328288707799739
NVDA,2025-07-11,0.06586431950183441,1.305311059217998,-1.2744745823603392
PANW,2025-07-03,0.3266518188567169,0.5048255382331157,-0.2821083890126313
PEP,2025-07-01,1.0146644941489973,0.4962227818101139,0.1851577544067545
PEP,2025-07-08,0.3563873067534527,0.5473777646275679,-0.1331459427472496
PEP,2025-07-10,0.4119310876832069,0.21305513720017666,-0.0477537376483104
PYPL,2025-07-01,1.4406325381934986,0.24792280889842166,0.8978826051996807
PYPL,2025-07-02,0.6811186063265388,0.5697819110616311,-0.0458445215796667
PYPL,2025-07-07,0.11082138200781454,1.408083441981745,-0.67796610169491
PYPL,2025-07-10,0.5939025999736081,0.21776428665697778,-0.0791870133298169
REGN,2025-07-01,2.461345747564822,0.3851403144689474,-0.0373922635406819
REGN,2025-07-02,1.2595475910693328,0.06609870740305773,0.4920681551116451
REGN,2025-07-08,0.5499640546369625,2.0147375988497345,-1.589683680805181
REGN,2025-07-10,0.5869890574697361,1.237843433709267,-0.6091536619816071
SBUX,2025-07-01,2.0873269435569686,0.0,1.0809371671991486
SBUX,2025-07-08,0.9595107549557111,0.03163222269084894,0.1054407423028198
STX,2025-07-02,2.0743823845327625,0.37593984962406163,2.0273899033297407
STX,2025-07-07,0.12600305060017092,2.0226805491080198,-1.5849857417600546
STX,2025-07-11,1.7157789774094865,0.037822783069132074,1.2068906233882306
TSLA,2025-07-01,1.8637833427519641,0.24443827682718267,0.5540823867341181
TSLA,2025-07-08,0.31722952878196403,2.7328002114863463,-1.5762672658780033
TSLA,2025-07-10,1.7233470938994793,1.202411375401355,1.546425529126522
TXN,2025-07-02,0.9337940050424876,0.028013820151275688,0.6583247735549522
TXN,2025-07-08,0.6746213859568604,0.7572280862781118,-0.5874254245066549
VRTX,2025-07-01,1.4629385063142177,0.01691900105954059,0.3949543186971496
VRTX,2025-07-02,0.5933413910559254,0.12965608174926532,0.435117020107672
VRTX,2025-07-08,0.7636788208577951,0.7926646385877691,-0.1135438536355398
VRTX,2025-07-09,0.9370591084251065,0.5853987239150061,0.8949440923161153
VRTX,2025-07-10,0.40667219229174306,0.706589307915463,-0.6361375880646601
AAPL,2025-12-02,0.01740038280840596,0.8769792935444713,-0.3897685749086495
ADBE,2025-11-25,0.492272109268777,0.2692650299270119,-0.1297097938708279
ADBE,2025-12-01,0.3322463545191608,0.9875099981541806,-0.6829508398449601
ADBE,2025-12-05,0.4373732251521218,0.8274940070071957,-0.2253134796238193
ADI,2025-11-25,2.338778322727081,0.5005877345871725,2.1563779336062554
ADI,2025-11-26,0.5921953666017342,0.6654964217511105,-0.5536158638915154
ADI,2025-11-28,1.2828248737799723,0.1527632419746274,0.5396144669403746
AMAT,2025-11-24,1.026729627864652,0.09314213923666916,0.0259931551358029
AMAT,2025-11-26,2.0621680030700205,0.04645432328169865,0.939185231564698
AMAT,2025-12-04,0.15496270164994197,1.506632859295198,-0.9480762870686744
AMD,2025-11-24,2.4391394602755176,0.2500471787129652,1.401207775051896
AVGO,2025-11-24,2.562560477007191,0.6029175021130101,1.4080604506953271
AVGO,2025-11-26,1.8595409735843318,0.09425070688030276,1.1921440762157085
AVGO,2025-12-04,0.761174833985138,0.5118244573348352,0.0551195569437464
BKNG,2025-12-02,2.22592628433636,0.26760093294967685,1.3958696635337815
BKNG,2025-12-05,1.4148680119680763,0.08113743373291202,1.3142239681059829
CMCSA,2025-11-25,0.47761327481763394,1.0498550767832282,-0.6214188318220034
CMCSA,2025-11-28,0.29889781430972645,0.5241920418456935,-0.3549411544928035
CMCSA,2025-12-01,0.43030869971935803,0.7670720299345252,-0.5425631431244271
CMCSA,2025-12-03,0.7693716797948242,0.10991023997069477,0.5678695731818926
CMCSA,2025-12-05,0.0,1.6399351234456725,-1.567850063074436
COST,2025-11-26,0.4354626165332205,0.14600585124670565,0.0158802562602094
