extension_side,bet,direction,threshold_band,horizon_label,family,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day
BELOW,CONTINUATION,SHORT,1.0,60m,FAMILY_A_AVWAP,2230,35,149,0.019917691260679705,-0.0800823087393203,0.747892861910648,0.19917691260679704,by_day,0.05202675397156282,0.14923074367144665,0.09162635095006123,-0.008113487695775527,0.04735789616452639,-0.06969811416950972,0.12103170426531372
BELOW,CONTINUATION,SHORT,2.0,120m,FAMILY_A_AVWAP,1957,35,149,0.01528427697795931,-0.08471572302204072,0.7934535719007646,0.1528427697795931,by_day,0.05687739441724798,0.16093179764652601,0.10493811779304506,-0.027419007469791482,0.05828241046518798,-0.10827745864423644,0.16597662645824313
BELOW,CONTINUATION,SHORT,2.0,30m,FAMILY_A_AVWAP,1957,35,149,0.03079264459190202,-0.06920735540809798,0.7193815844918148,0.3079264459190202,by_day,0.05347121604925806,0.14846201914257728,0.07845668854001607,0.007066089653348831,0.05497555902269918,-0.03598117832628951,0.10237579210584509
BELOW,CONTINUATION,SHORT,2.0,60m,FAMILY_A_AVWAP,1957,35,149,0.017555490951361778,-0.08244450904863822,0.7452416145072759,0.17555490951361777,by_day,0.05442943062279719,0.15643696038145755,0.1032317570807911,-0.013653638854695855,0.04795072132287775,-0.07921428134395382,0.12903938002651788
BELOW,REVERSION,LONG,1.0,120m,FAMILY_A_AVWAP,2230,35,149,-0.01697132676432784,-0.11697132676432785,0.7204822290694022,0.16971326764327838,by_day,0.05251834740376702,0.1466920525390883,0.04132357161603033,-0.05250066733939567,0.02204022497908719,-0.1567843992781923,0.09730193662506847
BELOW,REVERSION,LONG,1.0,30m,FAMILY_A_AVWAP,2230,35,149,-0.0325467996127474,-0.13254679961274743,0.5250622605795565,0.325467996127474,by_day,0.0666802974940778,0.17464950855198122,0.04371658705871413,-0.057641593339402504,-0.007442730600202196,-0.09850979897968228,0.028856485897265083
BELOW,REVERSION,LONG,1.0,60m,FAMILY_A_AVWAP,2230,35,149,-0.019917691260679705,-0.1199176912606797,0.6437170360484189,0.19917691260679704,by_day,0.05885675637469314,0.15787021780493823,0.05715797299121033,-0.047357896164526396,0.008113487695775525,-0.12103170426531377,0.0696981141695097
BELOW,REVERSION,LONG,2.0,120m,FAMILY_A_AVWAP,1957,35,149,-0.01528427697795931,-0.11528427697795933,0.725883690119084,0.1528427697795931,by_day,0.05100269232846653,0.1494186753545286,0.04201495353619992,-0.058282410465188006,0.027419007469791454,-0.16597662645824326,0.10827745864423644
BELOW,REVERSION,LONG,2.0,30m,FAMILY_A_AVWAP,1957,35,149,-0.03079264459190202,-0.13079264459190204,0.5347864430742003,0.3079264459190202,by_day,0.06291480667670354,0.17323486950353525,0.045561944118348914,-0.05497555902269919,-0.007066089653348839,-0.1023757921058451,0.03598117832628951
BELOW,REVERSION,LONG,2.0,60m,FAMILY_A_AVWAP,1957,35,149,-0.017555490951361778,-0.11755549095136178,0.6535951279155211,0.17555490951361777,by_day,0.05963848229046172,0.16073270781173593,0.05932956023267926,-0.04795072132287775,0.013653638854695851,-0.12903938002651794,0.0792142813439538
