date,cash,open_value,equity,peak,drawdown_usd,drawdown_pct
2025-01-15,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-16,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-17,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-21,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-22,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-23,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-24,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-27,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-28,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-29,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-30,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-01-31,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-03,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-04,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-05,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-06,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-07,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-10,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-11,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-12,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-13,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-14,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-18,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-19,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-20,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-21,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-24,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-25,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-26,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-27,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-02-28,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-03,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-04,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-05,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-06,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-07,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-10,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-11,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-12,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-13,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-14,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-17,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-18,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-19,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-20,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-21,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-24,299527.27,0.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-25,289527.27,10000.0,299527.27,302743.01,-3215.74,-1.0622
2025-03-26,289527.27,9875.15,299402.42,302743.01,-3340.59,-1.1034
2025-03-27,289527.27,9733.5,299260.77,302743.01,-3482.24,-1.1502
2025-03-28,289527.27,8678.61,298205.88,302743.01,-4537.13,-1.4987
2025-03-31,289527.27,8644.4,298171.67,302743.01,-4571.34,-1.51
2025-04-01,289527.27,9176.5,298703.77,302743.01,-4039.24,-1.3342
2025-04-02,289527.27,9372.17,298899.44,302743.01,-3843.57,-1.2696
2025-04-03,289527.27,8464.63,297991.9,302743.01,-4751.11,-1.5694
2025-04-04,289527.27,8804.36,298331.63,302743.01,-4411.38,-1.4571
2025-04-07,289527.27,8040.58,297567.85,302743.01,-5175.16,-1.7094
2025-04-08,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-09,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-10,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-11,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-14,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-15,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-16,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-17,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-21,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-22,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-23,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-24,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-25,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-28,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-29,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-04-30,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-01,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-02,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-05,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-06,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-07,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-08,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-09,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-12,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-13,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-14,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-15,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-16,296642.71,0.0,296642.71,302743.01,-6100.3,-2.015
2025-05-19,286642.71,10000.0,296642.71,302743.01,-6100.3,-2.015
2025-05-20,286642.71,10551.35,297194.06,302743.01,-5548.95,-1.8329
2025-05-21,286642.71,9941.3,296584.01,302743.01,-6159.0,-2.0344
2025-05-22,286642.71,9734.33,296377.04,302743.01,-6365.97,-2.1028
2025-05-23,286642.71,9698.03,296340.74,302743.01,-6402.27,-2.1148
2025-05-27,286642.71,9679.37,296322.08,302743.01,-6420.93,-2.1209
2025-05-28,286642.71,9781.49,296424.21,302743.01,-6318.8,-2.0872
2025-05-29,286642.71,9783.53,296426.24,302743.01,-6316.77,-2.0865
2025-05-30,286642.71,9906.02,296548.73,302743.01,-6194.28,-2.0461
2025-06-02,286642.71,9998.3,296641.01,302743.01,-6102.0,-2.0156
2025-06-03,296506.33,0.0,296506.33,302743.01,-6236.68,-2.0601
2025-06-04,296506.33,0.0,296506.33,302743.01,-6236.68,-2.0601
2025-06-05,296506.33,0.0,296506.33,302743.01,-6236.68,-2.0601
2025-06-06,296506.33,0.0,296506.33,302743.01,-6236.68,-2.0601
2025-06-09,296506.33,0.0,296506.33,302743.01,-6236.68,-2.0601
2025-06-10,286506.33,10000.0,296506.33,302743.01,-6236.68,-2.0601
2025-06-11,286506.33,9844.12,296350.45,302743.01,-6392.56,-2.1115
2025-06-12,286506.33,9657.21,296163.54,302743.01,-6579.47,-2.1733
2025-06-13,286506.33,9736.29,296242.63,302743.01,-6500.38,-2.1472
2025-06-16,286506.33,9720.53,296226.86,302743.01,-6516.15,-2.1524
2025-06-17,286506.33,9540.74,296047.07,302743.01,-6695.94,-2.2118
2025-06-18,286506.33,9384.35,295890.68,302743.01,-6852.33,-2.2634
2025-06-20,286506.33,9401.38,295907.72,302743.01,-6835.29,-2.2578
2025-06-23,286506.33,9337.3,295843.63,302743.01,-6899.38,-2.279
2025-06-24,286506.33,9587.53,296093.86,302743.01,-6649.15,-2.1963
2025-06-25,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-06-26,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-06-27,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-06-30,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-01,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
