ticker,gross_trades,gross_wins,gross_losses,gross_flats,gross_total_R,gross_expectancy_R,gross_profit_factor,gross_max_drawdown_R,net_5bps_trades,net_5bps_wins,net_5bps_losses,net_5bps_flats,net_5bps_total_R,net_5bps_expectancy_R,net_5bps_profit_factor,net_5bps_max_drawdown_R,mean_cost_R_5bps,median_cost_R_5bps,median_holding_minutes
INTC,5,0,5,0,-3.8929274401582745,-0.778585488031655,0.0,3.8929274401582745,5,0,5,0,-4.279243747206714,-0.8558487494413429,0.0,4.279243747206714,0.07726326140968803,0.06426250000000022,19.0
INTU,1,0,1,0,-0.7795572303344349,-0.7795572303344349,0.0,0.7795572303344349,1,0,1,0,-0.8059446537918066,-0.8059446537918066,0.0,0.8059446537918066,0.02638742345737162,0.02638742345737162,59.0
KLAC,4,0,4,0,-2.4645823443115957,-0.6161455860778989,0.0,2.4645823443115957,4,0,4,0,-2.831330798947857,-0.7078326997369643,0.0,2.831330798947857,0.09168711365906537,0.09278132782656281,28.0
MDLZ,4,1,3,0,2.5847985347986238,0.6461996336996559,2.5839506172840507,1.6318681318680848,4,1,3,0,1.889068144950378,0.4722670362375945,1.8873765841460395,2.1288235217163285,0.17393259746206138,0.18000320512820273,28.0
META,1,0,1,0,-0.6570693431433163,-0.6570693431433163,0.0,0.6570693431433163,1,0,1,0,-0.7745220830586856,-0.7745220830586856,0.0,0.7745220830586856,0.11745273991536935,0.11745273991536935,19.0
MSFT,1,1,0,0,0.9752475247524605,0.9752475247524605,inf,0.0,1,1,0,0,0.8388952145214387,0.8388952145214387,inf,0.0,0.13635231023102176,0.13635231023102176,274.0
MU,4,1,3,0,0.6840011629872573,0.17100029074681433,1.3133377554579226,1.5117187499999947,4,1,3,0,0.34997729759644913,0.08749432439911228,1.1402098092989776,1.7171724368578698,0.08350596634770202,0.09117889822345818,40.5
PANW,1,1,0,0,1.9751937984496173,1.9751937984496173,inf,0.0,1,1,0,0,1.949274418604656,1.949274418604656,inf,0.0,0.025919379844961284,0.025919379844961284,149.0
PEP,1,0,1,0,-1.0,-1.0,0.0,1.0,1,0,1,0,-1.1501086956521744,-1.1501086956521744,0.0,1.1501086956521744,0.1501086956521744,0.1501086956521744,7.0
PYPL,1,1,0,0,1.9306122448979641,1.9306122448979641,inf,0.0,1,1,0,0,1.905442857142862,1.905442857142862,inf,0.0,0.025169387755102083,0.025169387755102083,149.0
QCOM,1,0,1,0,-0.4358974358974322,-0.4358974358974322,0.0,0.4358974358974322,1,0,1,0,-0.5528406593406548,-0.5528406593406548,0.0,0.5528406593406548,0.1169432234432227,0.1169432234432227,19.0
REGN,2,0,2,0,-1.4642233856893565,-0.7321116928446783,0.0,1.4642233856893565,2,0,2,0,-1.7214097216579063,-0.8607048608289531,0.0,1.7214097216579063,0.12859316798427484,0.12859316798427484,86.0
STX,2,0,2,0,-1.0726666666666638,-0.5363333333333319,0.0,1.0726666666666638,2,0,2,0,-1.3681367435897407,-0.6840683717948703,0.0,1.3681367435897407,0.14773503846153843,0.14773503846153843,57.0
TSLA,1,1,0,0,2.958270563422745,2.958270563422745,inf,0.0,1,1,0,0,2.90620194335646,2.90620194335646,inf,0.0,0.05206862006628543,0.05206862006628543,339.0
TXN,1,0,1,0,-0.7372013651877151,-0.7372013651877151,0.0,0.7372013651877151,1,0,1,0,-0.8754266211604137,-0.8754266211604137,0.0,0.8754266211604137,0.1382252559726986,0.1382252559726986,299.0
VRTX,1,0,1,0,-0.7043090638930158,-0.7043090638930158,0.0,0.7043090638930158,1,0,1,0,-0.8465066864784538,-0.8465066864784538,0.0,0.8465066864784538,0.14219762258543794,0.14219762258543794,14.0
