ticker,confirmation_timestamp,entry_timestamp,entry_price,stop_price,exit_timestamp,exit_price,exit_reason,gross_r,net_r_5bps,mfe_r,mae_r,window,risk_abs,risk_pct_entry,actual_fill_feasibility_cost_r_5bps,actual_cost_r_5bps,holding_minutes,breakout_timestamp,estimated_candidate_cost_R_5bps,breakout_to_confirmation_minutes,confirmation_to_fill_minutes,next_available_fill_verified,time_bucket,realization_ratio,stop_risk_bucket,cost_R_bucket
HON,2025-04-11 14:45:00+00:00,2025-04-11 14:46:00+00:00,194.75,193.72,2025-04-11 14:55:00+00:00,194.29,THESIS_FAILURE,-0.44660194174758006,-0.6354563106796187,0.3203883495145749,-0.7281553398058245,O3,1.0300000000000011,0.5288831835686784,0.18907766990291242,0.18885436893203864,9.0,2025-04-11 14:44:00+00:00,0.1737637563542331,1.0,1.0,True,MID,-1.3939393939393652,0.50-0.75%,<0.20R
KLAC,2025-04-11 16:35:00+00:00,2025-04-11 16:36:00+00:00,666.34,659.245,2025-04-11 17:30:00+00:00,661.88,THESIS_FAILURE,-0.628611698379143,-0.7222142353770284,0.8865398167723664,-0.6610288935870383,O3,7.095000000000027,1.0647717381516983,0.09391684284707505,0.09360253699788547,54.0,2025-04-11 16:34:00+00:00,0.11861730597680605,1.0,1.0,True,MID,-0.7090620031796602,>=0.75%,<0.20R
STX,2025-04-16 15:25:00+00:00,2025-04-16 15:26:00+00:00,72.885,72.3,2025-04-16 16:56:00+00:00,72.3,STOP,-1.0,-1.124089743589742,0.16239316239315824,-1.034188034188027,O3,0.585000000000008,0.8026342868903175,0.12458974358974191,0.12408974358974191,90.0,2025-04-16 15:24:00+00:00,0.12565517241379348,1.0,1.0,True,MID,-6.1578947368422625,>=0.75%,<0.20R
INTC,2025-04-22 14:25:00+00:00,2025-04-22 14:26:00+00:00,19.575,19.3903,2025-04-22 15:45:00+00:00,19.415,THESIS_FAILURE,-0.8662696264212271,-0.9718191662154884,0.8662696264212271,-0.9474824038982201,O3,0.18469999999999942,0.9435504469987199,0.1059826746074719,0.1055495397942613,79.0,2025-04-22 14:24:00+00:00,0.1059826746074719,1.0,1.0,True,OPEN,-1.0,>=0.75%,<0.20R
MDLZ,2025-04-23 14:05:00+00:00,2025-04-23 14:06:00+00:00,68.32,67.92999999999999,2025-04-23 14:50:00+00:00,68.185,THESIS_FAILURE,-0.34615384615382233,-0.5211602564102323,0.5641025641025968,-0.4102564102564009,O3,0.39000000000000057,0.5708430913348955,0.1751794871794869,0.17500641025640998,44.0,2025-04-23 14:04:00+00:00,0.18459459459459232,1.0,1.0,True,OPEN,-0.6136363636362858,0.50-0.75%,<0.20R
ADI,2025-04-24 14:05:00+00:00,2025-04-24 14:06:00+00:00,195.55,192.865,2025-04-24 19:05:00+00:00,193.81,THESIS_FAILURE,-0.648044692737433,-0.7205512104283083,0.7318435754189845,-0.8230912476722555,O3,2.6850000000000023,1.3730503707491701,0.07283054003724389,0.07250651769087518,299.0,2025-04-24 14:04:00+00:00,0.07589902912621393,1.0,1.0,True,OPEN,-0.8854961832061228,>=0.75%,<0.20R
INTC,2025-04-24 14:05:00+00:00,2025-04-24 14:06:00+00:00,21.35,21.165,2025-04-24 14:15:00+00:00,21.19,THESIS_FAILURE,-0.864864864864855,-0.9798378378378266,0.3243243243243134,-0.9724324324324202,O3,0.18500000000000227,0.8665105386416968,0.11540540540540399,0.11497297297297156,9.0,2025-04-24 14:04:00+00:00,0.11394023479188888,1.0,1.0,True,OPEN,-2.666666666666726,>=0.75%,<0.20R
KLAC,2025-04-24 14:05:00+00:00,2025-04-24 14:06:00+00:00,685.35,678.395,2025-04-24 14:48:00+00:00,678.395,STOP,-1.0,-1.0980406182602438,0.3019410496046025,-1.0195398993529823,O3,6.955000000000041,1.0148099511198716,0.09854061826024385,0.09804061826024385,42.0,2025-04-24 14:04:00+00:00,0.09279905277401912,1.0,1.0,True,OPEN,-3.3119047619047457,>=0.75%,<0.20R
AMAT,2025-04-25 14:10:00+00:00,2025-04-25 14:11:00+00:00,150.6946,149.73000000000002,2025-04-25 14:25:00+00:00,149.85,THESIS_FAILURE,-0.8755961020112198,-1.0313832676757455,0.35807588637775994,-0.9222475637570087,O3,0.9645999999999901,0.6401025650554102,0.15622496371553135,0.15578716566452577,14.0,2025-04-25 14:09:00+00:00,0.15536082474227278,1.0,1.0,True,OPEN,-2.4452808338160215,0.50-0.75%,<0.20R
MU,2025-04-25 14:10:00+00:00,2025-04-25 14:11:00+00:00,78.86,78.13,2025-04-25 14:20:00+00:00,78.37,THESIS_FAILURE,-0.6712328767123181,-0.7789246575342353,0.32876712328766244,-0.8356164383561591,O3,0.730000000000004,0.9256910981486228,0.10802739726027338,0.10769178082191723,9.0,2025-04-25 14:09:00+00:00,0.10658108108107979,1.0,1.0,True,OPEN,-2.0416666666666887,>=0.75%,<0.20R
TSLA,2025-04-25 14:10:00+00:00,2025-04-25 14:11:00+00:00,268.6504,263.34000000000003,2025-04-25 19:50:00+00:00,284.36,END_OF_SESSION,2.958270563422745,2.90620194335646,3.4271617957216356,-0.14130762277794875,O3,5.310399999999959,1.9766953631931905,0.05058948478457406,0.05206862006628543,339.0,2025-04-25 14:09:00+00:00,0.05104656112810992,1.0,1.0,True,OPEN,0.8631838062374995,>=0.75%,<0.20R
ADBE,2025-04-29 14:05:00+00:00,2025-04-29 14:06:00+00:00,372.69,370.297,2025-04-29 16:25:00+00:00,371.93,THESIS_FAILURE,-0.31759297952361043,-0.4731759297952378,0.4972837442540792,-0.41358127872962064,O3,2.3929999999999723,0.6420885991038053,0.1557417467613892,0.15558295027162738,139.0,2025-04-29 14:04:00+00:00,0.1544591794446776,1.0,1.0,True,OPEN,-0.6386554621848676,0.50-0.75%,<0.20R
COST,2025-04-29 14:05:00+00:00,2025-04-29 14:06:00+00:00,983.46,977.46,2025-04-29 19:50:00+00:00,991.735,END_OF_SESSION,1.3791666666666629,1.2145670833333295,1.429999999999988,-0.4583333333333333,O3,6.0,0.6100909035446281,0.16391000000000003,0.16459958333333335,344.0,2025-04-29 14:04:00+00:00,0.1608462796402287,1.0,1.0,True,OPEN,0.96445221445222,0.50-0.75%,<0.20R
META,2025-04-29 14:05:00+00:00,2025-04-29 14:06:00+00:00,553.89,549.1873,2025-04-29 14:25:00+00:00,550.8,THESIS_FAILURE,-0.6570693431433163,-0.7745220830586856,0.2998277585216976,-0.8271843834393091,O3,4.702699999999936,0.849031396125573,0.11778127458694101,0.11745273991536935,19.0,2025-04-29 14:04:00+00:00,0.1201890314039566,1.0,1.0,True,OPEN,-2.1914893617022,>=0.75%,<0.20R
REGN,2025-04-29 14:35:00+00:00,2025-04-29 14:36:00+00:00,566.79,561.0600000000001,2025-04-29 14:40:00+00:00,564.13,THESIS_FAILURE,-0.46422338568935645,-0.5629075043630056,0.5602094240837853,-0.47818499127400604,O3,5.7299999999999045,1.0109564388926948,0.0989162303664938,0.09868411867364912,4.0,2025-04-29 14:34:00+00:00,0.08167002156721868,1.0,1.0,True,MID,-0.8286604361370524,>=0.75%,<0.20R
AMAT,2025-05-02 14:10:00+00:00,2025-05-02 14:11:00+00:00,155.24,154.29000000000002,2025-05-02 14:20:00+00:00,154.9755,THESIS_FAILURE,-0.27842105263158035,-0.44169236842105597,0.04210526315788687,-0.652631578947381,O3,0.9499999999999886,0.6119556815253727,0.16341052631579145,0.16327131578947565,9.0,2025-05-02 14:09:00+00:00,0.16690322580645547,1.0,1.0,True,OPEN,-6.612500000001269,0.50-0.75%,<0.20R
